b142,b99,TS
3017.650608,2710.246159,8.875
2979.828454,2322.00633,1.65
2724.09235,2084.866517,1.45
2887.387324,2458.721031,8.2
2737.782305,2101.468506,3.875
2937.581263,2278.394208,2.1
2966.518886,2829.435019,11.8
2844.857875,2184.865877,2.4
3422.519702,2840.141636,8.725
2741.564172,2058.687609,1.775
2682.435659,2158.440461,4.475
2790.136097,2161.206678,3.9
3078.035923,2433.318405,2.175
2592.462415,2369.160943,4.95
3127.529449,2643.488956,9.0
2878.509952,2935.98122,5.775
2656.01461,2076.139123,1.9
3187.819782,2436.319302,1.675
3406.113796,2677.602913,4.125
2861.420935,2358.297695,4.225
3284.028809,2373.955346,1.65
2528.058579,2148.419334,10.2
3330.169334,2748.597311,6.825
2886.727963,2685.495806,8.55
2630.476953,2523.488956,8.225
2642.305428,2072.419845,2.3
3062.038297,2420.60595,2.175
2799.094952,2196.234689,4.625
3038.391974,2662.84077,6.45
3092.013451,2965.516854,6.05
2493.832907,2253.770487,4.525
2764.237221,2292.180567,3.475
2936.384238,2259.483463,3.275
3048.914693,2868.065941,11.2
2941.830511,2334.243709,1.625
2870.34507,2302.119238,2.25
3169.254058,3123.598377,6.45
3047.261364,2575.960147,2.125
3263.642606,3308.940301,7.575
3058.259091,2539.776299,3.0
3050.754641,2292.427977,4.825
2994.369837,2360.51179,4.35
3109.344833,2371.395157,2.15
3149.24007,2840.067574,8.125
2783.449584,2120.570262,1.475
2883.026248,2911.462708,8.375
3095.180058,2298.760243,1.325
